,,,State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,
Year,ICPSR State Code,Alphanumeric State Code,,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2014,0,0,United States,,35.90%,33.20%,,81687059,227224334,"245,712,915",8.30%,"1,513,332","2,342,582","637,410","3,392,310","5,345,814"
2014,41,1,Alabama,,32.90%,31.50%,,1180413,3586835,"3,751,844",2.50%,"31,354","57,993","8,616","70,706",
2014,81,2,Alaska,54.40%,53.80%,51.00%,"285,431",282382,524865,"553,473",3.70%,"2,682","7,173","1,882","8,366",
2014,61,3,Arizona,34.10%,33.40%,29.50%,"1,537,671",1506416,4507185,"5,110,890",10.20%,"39,062","72,452","7,460","84,922",
2014,42,4,Arkansas,40.10%,40.00%,37.50%,"852,642",848592,2124019,"2,263,040",3.60%,"17,159","30,122","23,372","56,496",
2014,71,5,California,30.80%,30.00%,24.70%,"7,513,972",7317581,24408163,"29,646,675",16.90%,"135,981",0,"89,287","225,268",
2014,62,6,Colorado,54.50%,53.40%,49.40%,"2,080,071",2041020,3819197,"4,128,890",6.70%,"20,371",0,"11,458","31,829",
2014,1,7,Connecticut,,42.30%,38.50%,,1089880,2577986,"2,828,791",8.30%,"12,162",0,"2,793","14,955",
2014,11,8,Delaware,,34.40%,31.80%,,234038,681226,"735,156",5.60%,"4,112","15,641",601,"13,003",
2014,55,9,District of Columbia,35.80%,35.40%,32.00%,"177,176",175071,495028,"547,228",9.50%,0,0,0,0,
2014,43,10,Florida,43.30%,42.70%,37.60%,"6,026,802",5951561,13930703,"15,816,663",10.40%,"103,028","240,869","4,538","235,227",
2014,44,11,Georgia,38.50%,38.10%,33.80%,"2,596,947",2567761,6739922,"7,601,982",7.20%,"53,478","442,061","24,761","312,531",
2014,82,12,Hawaii,36.50%,36.20%,32.90%,"369,554",366125,1012635,"1,113,693",8.70%,"3,618",0,0,"3,618",
2014,63,13,Idaho,39.60%,39.10%,36.50%,"445,307",439830,1124381,"1,205,611",4.40%,"7,549","31,606","3,848","28,148",
2014,21,14,Illinois,40.90%,40.40%,36.60%,"3,680,417",3627690,8987613,"9,922,399",8.90%,"48,653",0,0,"48,653",
2014,22,15,Indiana,28.80%,27.80%,26.70%,"1,387,622",1341814,4818728,"5,033,872",3.70%,"29,905",0,0,"29,905",
2014,31,16,Iowa,50.20%,49.70%,47.30%,"1,142,284",1129700,2273985,"2,386,733",3.50%,"8,654","29,333","5,151","29,351",
2014,32,17,Kansas,43.40%,42.50%,39.80%,"887,023",869502,2043822,"2,184,712",5.40%,"9,506","17,021","5,126","23,653",
2014,51,18,Kentucky,,44.00%,42.20%,,1435868,3260695,"3,406,506",2.40%,"20,330","54,511","14,419","63,640",
2014,45,19,Louisiana,,43.80%,41.50%,,1472039,3357066,"3,545,845",2.80%,"39,298","41,298","28,946","90,132",
2014,2,20,Maine,58.50%,58.00%,57.00%,"616,996",611255,1054332,"1,071,521",1.60%,0,0,0,0,
2014,52,21,Maryland,,41.50%,37.30%,,1733177,4174463,"4,645,171",8.30%,"20,988","96,640","13,195","85,402",
2014,3,22,Massachusetts,44.60%,44.00%,40.20%,"2,186,789",2158326,4900170,"5,369,534",8.60%,"9,643",0,0,"9,643",
2014,23,23,Michigan,43.20%,42.70%,41.00%,"3,188,956",3156531,7389371,"7,700,110",3.50%,"43,704",0,0,"43,704",
2014,33,24,Minnesota,50.50%,50.20%,47.20%,"1,992,613",1981511,3945136,"4,194,166",4.20%,"10,289","108,157","6,006","73,618",
2014,46,25,Mississippi,,28.90%,27.90%,,631858,2187392,"2,267,463",1.60%,"20,742","30,768","6,804","43,853",
2014,34,26,Missouri,,31.80%,30.50%,,1426303,4487349,"4,682,458",2.40%,"31,537","55,470","20,672","81,608",
2014,64,27,Montana,47.30%,46.80%,46.10%,"373,831",369826,790960,"802,644",1.00%,"3,642",0,0,"3,642",
2014,35,28,Nebraska,41.50%,40.60%,38.00%,"552,115",539891,1330551,"1,419,489",5.30%,"4,929","14,260","1,383","13,870",
2014,65,29,Nevada,,29.00%,25.20%,,547349,1886848,"2,173,640",12.10%,"12,915","11,321","5,379","24,294",
2014,4,30,New Hampshire,48.40%,47.60%,46.00%,"495,565",488159,1024678,"1,061,054",3.20%,"2,848",0,0,"2,848",
2014,12,31,New Jersey,32.50%,31.10%,27.00%,"1,955,042",1869535,6007976,"6,936,661",12.00%,"22,452","114,886","14,987","98,329",
2014,66,32,New Mexico,,35.70%,32.30%,,512805,1436968,"1,586,442",8.00%,"6,687","21,381","5,078","23,097",
2014,13,33,New York,29.00%,28.20%,24.60%,"3,930,310",3819010,13563172,"15,544,111",12.10%,"53,428",0,"46,222","99,650",
2014,47,34,North Carolina,41.20%,40.90%,37.90%,"2,939,767",2915281,7132188,"7,693,406",6.10%,"35,181","96,070","4,359","90,457",
2014,36,35,North Dakota,45.00%,43.80%,42.70%,"255,128",248670,567163,"582,205",2.30%,"1,513",0,0,"1,513",
2014,24,36,Ohio,36.20%,35.10%,34.10%,"3,149,876",3055913,8700170,"8,969,074",2.40%,"51,729",0,0,"51,729",
2014,53,37,Oklahoma,,29.80%,28.10%,,824831,2769828,"2,940,437",4.40%,"25,496","25,506","2,310","41,324",
2014,72,38,Oregon,,51.00%,47.20%,,1469717,2881903,"3,115,883",7.00%,"15,180",0,0,"15,180",
2014,14,39,Pennsylvania,,36.00%,34.60%,,3495866,9702162,"10,100,271",3.40%,"50,083",0,0,"50,083",
2014,5,40,Rhode Island,42.20%,41.60%,38.50%,"329,212",324055,779441,"842,605",7.30%,"2,039",0,0,"2,039",
2014,48,41,South Carolina,35.20%,34.80%,33.10%,"1,261,611",1246301,3582895,"3,760,480",3.50%,"21,443","34,945","6,116","46,080",
2014,37,42,South Dakota,44.90%,44.50%,43.10%,"282,291",279412,628053,"647,810",2.10%,"3,641",0,"2,761","6,402",
2014,54,43,Tennessee,,28.60%,27.20%,,1374065,4810559,"5,060,636",3.40%,"28,521","64,430","13,138","75,807",
2014,49,44,Texas,,28.30%,23.80%,,4727208,16679393,"19,847,831",13.50%,"160,295","405,473","112,288","487,484",
2014,67,45,Utah,30.20%,29.60%,27.50%,"577,973",565970,1911922,"2,054,936",6.60%,"7,071",0,0,"7,071",
2014,6,46,Vermont,,38.80%,38.10%,,193087,497388,"507,304",2.00%,0,0,0,0,
2014,40,47,Virginia,36.60%,36.50%,33.70%,"2,194,346",2184473,5987310,"6,489,957",6.70%,"36,982","52,956","1,983","67,032",
2014,73,48,Washington,43.10%,41.20%,37.10%,"2,123,901",2029189,4926407,"5,467,270",8.50%,"17,947","88,339","8,895","73,662",
2014,56,49,West Virginia,,31.20%,30.70%,,451498,1448656,"1,472,594",0.70%,"6,812","8,573","2,052","13,408",
2014,25,50,Wisconsin,,56.50%,53.90%,,2410314,4265187,"4,470,265",3.10%,"21,285","46,328","20,023","65,862",
2014,68,51,Wyoming,39.30%,38.70%,37.30%,"171,153",168390,435103,"451,484",2.30%,"2,310","5,162",762,"5,808",
2012,0,0,United States,58.60%,58.00%,53.60%,"130,292,355",129070906,222381268,"240,957,993",8.40%,"1,566,255","2,342,582","637,410","3,445,233","5,127,418"
2012,41,1,Alabama,,58.60%,56.00%,,2074338,3539018,"3,707,440",2.60%,"32,431","57,993","8,616","71,783",
2012,81,2,Alaska,58.90%,58.70%,55.30%,"301,694",300495,511792,"543,763",3.80%,"5,633","7,173","1,882","11,317",
2012,61,3,Arizona,53.00%,52.60%,46.50%,"2,323,579",2306559,4383008,"4,959,270",9.90%,"40,080","72,452","7,460","85,940",
2012,42,4,Arkansas,51.10%,50.70%,47.70%,"1,078,548",1069468,2109664,"2,242,740",3.50%,"14,654","30,122","23,372","53,991",
2012,71,5,California,55.80%,55.10%,45.10%,"13,202,158",13038547,23666758,"28,913,129",17.40%,"134,534",0,"89,287","223,821",
2012,62,6,Colorado,70.70%,69.90%,64.50%,"2,596,173",2569522,3674216,"3,981,208",6.90%,"20,462",0,"11,458","31,920",
2012,1,7,Connecticut,61.40%,61.30%,55.60%,"1,560,640",1558960,2542607,"2,801,375",8.50%,"17,530",0,"2,793","20,323",
2012,11,8,Delaware,,62.40%,57.80%,,413921,663663,"715,708",5.10%,"6,914","15,641",601,"15,805",
2012,55,9,District of Columbia,61.60%,61.50%,55.50%,"294,254",293764,477582,"528,848",9.70%,0,0,0,0,
2012,43,10,Florida,63.30%,62.80%,55.10%,"8,538,264",8474179,13485081,"15,380,947",10.80%,"101,930","240,869","4,538","234,129",
2012,44,11,Georgia,59.30%,59.10%,52.30%,"3,919,355",3900050,6603887,"7,452,696",7.20%,"55,457","442,061","24,761","314,510",
2012,82,12,Hawaii,44.50%,44.20%,39.90%,"437,159",434697,982615,"1,088,335",9.20%,"5,831",0,0,"5,831",
2012,63,13,Idaho,61.00%,59.80%,55.60%,"666,290",652274,1091410,"1,173,727",4.60%,"7,985","31,606","3,848","28,584",
2012,21,14,Illinois,59.30%,58.90%,53.30%,"5,279,752",5242014,8899143,"9,827,043",8.90%,"49,348",0,0,"49,348",
2012,22,15,Indiana,56.00%,55.20%,52.90%,"2,663,368",2624534,4754726,"4,960,376",3.60%,"28,831",0,0,"28,831",
2012,31,16,Iowa,70.60%,70.30%,67.10%,"1,589,951",1582180,2251485,"2,356,209",3.20%,"8,733","29,333","5,151","29,430",
2012,32,17,Kansas,58.30%,56.90%,53.50%,"1,182,771",1156254,2030350,"2,162,442",5.00%,"9,682","17,021","5,126","23,829",
2012,51,18,Kentucky,56.20%,55.70%,53.40%,"1,815,843",1797212,3228938,"3,368,684",2.20%,"22,110","54,511","14,419","65,420",
2012,45,19,Louisiana,60.80%,60.20%,57.00%,"2,014,548",1994065,3311501,"3,495,847",2.70%,"40,172","41,298","28,946","91,006",
2012,2,20,Maine,69.30%,68.20%,67.00%,"724,758",713180,1046008,"1,064,779",1.80%,0,0,0,0,
2012,52,21,Maryland,67.30%,66.60%,59.50%,"2,734,062",2707327,4062931,"4,553,853",8.90%,"21,522","96,640","13,195","85,936",
2012,3,22,Massachusetts,66.20%,65.90%,60.20%,"3,184,196",3167767,4808650,"5,263,550",8.40%,"11,308",0,0,"11,308",
2012,23,23,Michigan,65.40%,64.70%,62.00%,"4,780,701",4730961,7312108,"7,625,576",3.50%,"43,636",0,0,"43,636",
2012,33,24,Minnesota,76.40%,76.10%,71.40%,"2,950,780",2936561,3861043,"4,114,820",4.40%,"9,938","108,157","6,006","73,267",
2012,46,25,Mississippi,,59.30%,57.20%,,1285584,2166811,"2,246,931",1.50%,"22,319","30,768","6,804","45,430",
2012,34,26,Missouri,,62.20%,59.60%,,2757323,4432424,"4,628,500",2.50%,"31,247","55,470","20,672","81,318",
