,,,State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,
Year,ICPSR State Code,Alphanumeric State Code,,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2014,0,0,United States,,,,,,227224334,245712915,0.0830,1513332,2342582,637410,3392310,5345814
2014,41,1,Alabama,,,,,,3586835,3751844,0.0250,31354,57993,8616,70706,
2014,81,2,Alaska,,,,,,524865,553473,0.0370,2682,7173,1882,8366,
2014,61,3,Arizona,,,,,,4507185,5110890,0.1020,39062,72452,7460,84922,
2014,42,4,Arkansas,,,,,,2124019,2263040,0.0360,17159,30122,23372,56496,
2014,71,5,California,,,,,,24408163,29646675,0.1690,135981,0,89287,225268,
2014,62,6,Colorado,,,,,,3819197,4128890,0.0670,20371,0,11458,31829,
2014,1,7,Connecticut,,,,,,2577986,2828791,0.0830,12162,0,2793,14955,
2014,11,8,Delaware,,,,,,681226,735156,0.0560,4112,15641,601,13003,
2014,55,9,District of Columbia,,,,,,495028,547228,0.0950,0,0,0,0,
2014,43,10,Florida,,,,,,13930703,15816663,0.1040,103028,240869,4538,235227,
2014,44,11,Georgia,,,,,,6739922,7601982,0.0720,53478,442061,24761,312531,
2014,82,12,Hawaii,,,,,,1012635,1113693,0.0870,3618,0,0,3618,
2014,63,13,Idaho,,,,,,1124381,1205611,0.0440,7549,31606,3848,28148,
2014,21,14,Illinois,,,,,,8987613,9922399,0.0890,48653,0,0,48653,
2014,22,15,Indiana,,,,,,4818728,5033872,0.0370,29905,0,0,29905,
2014,31,16,Iowa,,,,,,2273985,2386733,0.0350,8654,29333,5151,29351,
2014,32,17,Kansas,,,,,,2043822,2184712,0.0540,9506,17021,5126,23653,
2014,51,18,Kentucky,,,,,,3260695,3406506,0.0240,20330,54511,14419,63640,
2014,45,19,Louisiana,,,,,,3357066,3545845,0.0280,39298,41298,28946,90132,
2014,2,20,Maine,,,,,,1054332,1071521,0.0160,0,0,0,0,
2014,52,21,Maryland,,,,,,4174463,4645171,0.0830,20988,96640,13195,85402,
2014,3,22,Massachusetts,,,,,,4900170,5369534,0.0860,9643,0,0,9643,
2014,23,23,Michigan,,,,,,7389371,7700110,0.0350,43704,0,0,43704,
2014,33,24,Minnesota,,,,,,3945136,4194166,0.0420,10289,108157,6006,73618,
2014,46,25,Mississippi,,,,,,2187392,2267463,0.0160,20742,30768,6804,43853,
2014,34,26,Missouri,,,,,,4487349,4682458,0.0240,31537,55470,20672,81608,
2014,64,27,Montana,,,,,,790960,802644,0.0100,3642,0,0,3642,
2014,35,28,Nebraska,,,,,,1330551,1419489,0.0530,4929,14260,1383,13870,
2014,65,29,Nevada,,,,,,1886848,2173640,0.1210,12915,11321,5379,24294,
2014,4,30,New Hampshire,,,,,,1024678,1061054,0.0320,2848,0,0,2848,
2014,12,31,New Jersey,,,,,,6007976,6936661,0.1200,22452,114886,14987,98329,
2014,66,32,New Mexico,,,,,,1436968,1586442,0.0800,6687,21381,5078,23097,
2014,13,33,New York,,,,,,13563172,15544111,0.1210,53428,0,46222,99650,
2014,47,34,North Carolina,,,,,,7132188,7693406,0.0610,35181,96070,4359,90457,
2014,36,35,North Dakota,,,,,,567163,582205,0.0230,1513,0,0,1513,
2014,24,36,Ohio,,,,,,8700170,8969074,0.0240,51729,0,0,51729,
2014,53,37,Oklahoma,,,,,,2769828,2940437,0.0440,25496,25506,2310,41324,
2014,72,38,Oregon,,,,,,2881903,3115883,0.0700,15180,0,0,15180,
2014,14,39,Pennsylvania,,,,,,9702162,10100271,0.0340,50083,0,0,50083,
2014,5,40,Rhode Island,,,,,,779441,842605,0.0730,2039,0,0,2039,
2014,48,41,South Carolina,,,,,,3582895,3760480,0.0350,21443,34945,6116,46080,
2014,37,42,South Dakota,,,,,,628053,647810,0.0210,3641,0,2761,6402,
2014,54,43,Tennessee,,,,,,4810559,5060636,0.0340,28521,64430,13138,75807,
2014,49,44,Texas,,,,,,16679393,19847831,0.1350,160295,405473,112288,487484,
2014,67,45,Utah,,,,,,1911922,2054936,0.0660,7071,0,0,7071,
2014,6,46,Vermont,,,,,,497388,507304,0.0200,0,0,0,0,
2014,40,47,Virginia,,,,,,5987310,6489957,0.0670,36982,52956,1983,67032,
2014,73,48,Washington,,,,,,4926407,5467270,0.0850,17947,88339,8895,73662,
2014,56,49,West Virginia,,,,,,1448656,1472594,0.0070,6812,8573,2052,13408,
2014,25,50,Wisconsin,,,,,,4265187,4470265,0.0310,21285,46328,20023,65862,
2014,68,51,Wyoming,,,,,,435103,451484,0.0230,2310,5162,762,5808,
2012,0,0,United States,0.5859,0.5804,0.5357,130292355,129070906,222381268,240957993,0.0841,1566255,2342582,637410,3445233,5127418
2012,41,1,Alabama,,0.5861,0.5595,,2074338,3539018,3707440,0.0261,32431,57993,8616,71783,
2012,81,2,Alaska,0.5895,0.5871,0.5526,301694,300495,511792,543763,0.0380,5633,7173,1882,11317,
2012,61,3,Arizona,0.5301,0.5263,0.4651,2323579,2306559,4383008,4959270,0.0989,40080,72452,7460,85940,
2012,42,4,Arkansas,0.5112,0.5069,0.4769,1078548,1069468,2109664,2242740,0.0353,14654,30122,23372,53991,
2012,71,5,California,0.5578,0.5509,0.4510,13202158,13038547,23666758,28913129,0.1737,134534,0,89287,223821,
2012,62,6,Colorado,0.7066,0.6993,0.6454,2596173,2569522,3674216,3981208,0.0691,20462,0,11458,31920,
2012,1,7,Connecticut,0.6138,0.6131,0.5565,1560640,1558960,2542607,2801375,0.0851,17530,0,2793,20323,
2012,11,8,Delaware,,0.6237,0.5783,,413921,663663,715708,0.0506,6914,15641,601,15805,
2012,55,9,District of Columbia,0.6161,0.6151,0.5555,294254,293764,477582,528848,0.0969,0,0,0,0,
2012,43,10,Florida,0.6332,0.6284,0.5510,8538264,8474179,13485081,15380947,0.1080,101930,240869,4538,234129,
2012,44,11,Georgia,0.5935,0.5906,0.5233,3919355,3900050,6603887,7452696,0.0717,55457,442061,24761,314510,
2012,82,12,Hawaii,0.4449,0.4424,0.3994,437159,434697,982615,1088335,0.0918,5831,0,0,5831,
2012,63,13,Idaho,0.6105,0.5976,0.5557,666290,652274,1091410,1173727,0.0458,7985,31606,3848,28584,
